,Unnamed: 0,canonical_composer,second composer,canonical_title,split,year,midi_filename,audio_filename,duration,best match composer,era,nationality,era index,era index2
10,10,Alexander Scriabin,,"Etude in D-flat Major, Op. 8 No. 10",train,2011,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.wav,102.0071095,Alexander Scriabin,Post Romantic,Russian,15,6
11,11,Alexander Scriabin,,Etudes from Op.8,train,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.wav,550.9970452,Alexander Scriabin,Post Romantic,Russian,15,6
12,12,Alexander Scriabin,,Fantasy Op. 28 in B Minor,train,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.wav,512.1642848,Alexander Scriabin,Post Romantic,Russian,15,6
13,13,Alexander Scriabin,,"Fantasy in B Minor, Op. 28",train,2011,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.wav,476.8064142,Alexander Scriabin,Post Romantic,Russian,15,6
14,14,Alexander Scriabin,,"Fantasy, Op. 28",train,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.wav,486.857152,Alexander Scriabin,Post Romantic,Russian,15,6
15,15,Alexander Scriabin,,"Fragilite, Op.51",validation,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.wav,138.4213359,Alexander Scriabin,Post Romantic,Russian,15,6
16,16,Alexander Scriabin,,"Prelude and Nocturne for Left Hand, Op. 9",train,2008,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.wav,463.6053056,Alexander Scriabin,Post Romantic,Russian,15,6
17,17,Alexander Scriabin,,Sonata No. 2,train,2006,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.wav,613.737367,Alexander Scriabin,Post Romantic,Russian,15,6
18,18,Alexander Scriabin,,"Sonata No. 2 in G-sharp Minor, Op. 19",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.wav,701.1478031,Alexander Scriabin,Post Romantic,Russian,15,6
19,19,Alexander Scriabin,,"Sonata No. 2 in G-sharp Minor, Op. 19",train,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.wav,685.0059923,Alexander Scriabin,Post Romantic,Russian,15,6
20,20,Alexander Scriabin,,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",train,2017,2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi,2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.wav,661.9091498,Alexander Scriabin,Post Romantic,Russian,15,6
21,21,Alexander Scriabin,,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.wav,1120.091027,Alexander Scriabin,Post Romantic,Russian,15,6
22,22,Alexander Scriabin,,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.wav,1195.010824,Alexander Scriabin,Post Romantic,Russian,15,6
23,23,Alexander Scriabin,,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.wav,1117.958284,Alexander Scriabin,Post Romantic,Russian,15,6
24,24,Alexander Scriabin,,"Sonata No. 4 in F-sharp Major ,Op.30",validation,2013,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.wav,440.1104039,Alexander Scriabin,Post Romantic,Russian,15,6
25,25,Alexander Scriabin,,"Sonata No. 5 in F-sharp Minor, Op. 53",train,2004,2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.wav,659.8356603,Alexander Scriabin,Post Romantic,Russian,15,6
26,26,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2018,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.wav,701.4883477,Alexander Scriabin,Post Romantic,Russian,15,6
27,27,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.wav,706.2038878,Alexander Scriabin,Post Romantic,Russian,15,6
28,28,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2009,2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.wav,648.9550134,Alexander Scriabin,Post Romantic,Russian,15,6
29,29,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.wav,601.6487039,Alexander Scriabin,Post Romantic,Russian,15,6
30,30,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2014,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.midi,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.wav,707.9039395,Alexander Scriabin,Post Romantic,Russian,15,6
31,31,Alexander Scriabin,,"Sonata No. 5, Op. 53",train,2014,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.wav,644.8404342,Alexander Scriabin,Post Romantic,Russian,15,6
32,32,Alexander Scriabin,,Sonata No. 9,test,2006,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.wav,476.6528353,Alexander Scriabin,Post Romantic,Russian,15,6
33,33,Alexander Scriabin,,Sonata No. 9,test,2006,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.wav,426.2682703,Alexander Scriabin,Post Romantic,Russian,15,6
34,34,Alexander Scriabin,,"Sonata No. 9, Op. 68",test,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.wav,520.1397042,Alexander Scriabin,Post Romantic,Russian,15,6
35,35,Alexander Scriabin,,"Sonata No. 9, Op. 68, ""Black Mass""",test,2018,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav,520.2158259,Alexander Scriabin,Post Romantic,Russian,15,6
36,36,Alexander Scriabin,,"Two Impromptus, Op. 14 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.wav,365.6553502,Alexander Scriabin,Post Romantic,Russian,15,6
37,37,Alexander Scriabin,,"Waltz, Op. 38",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.wav,319.9102036,Alexander Scriabin,Post Romantic,Russian,15,6
38,38,Antonio Soler ,,Sonata No. 10 in B Minor,train,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.wav,232.7655258,Antonio Soler ,Early Galante,Unknown,7,4
39,39,Carl Maria von Weber,,"Sonata No. 1, 2nd, 3rd and 4th movements",train,2008,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.wav,939.1336763,Carl Maria von Weber,Classical-Romantic Transition,German,11,5
40,40,Charles Gounod,,Faust Waltz,train,2006,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.wav,557.392605,Charles Gounod,Early Romantic,French,12,5
41,41,Claude Debussy, Franz Liszt,"""Feux d'artifice"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.wav,242.7521611,Claude Debussy,Post Romantic,French,15,6
42,42,Claude Debussy,,"""Images"", Series I",train,2013,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.wav,918.0212508,Claude Debussy,Post Romantic,French,15,6
43,43,Claude Debussy,,"""Les collines d'Anacapri"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.wav,166.49556,Claude Debussy,Post Romantic,French,15,6
44,44,Claude Debussy,,"""Ondine"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.wav,193.3010888,Claude Debussy,Post Romantic,French,15,6
45,45,Claude Debussy,,"""Voiles"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.wav,212.2954608,Claude Debussy,Post Romantic,French,15,6
46,46,Claude Debussy,,"Barcarolle, Op. 60",train,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.wav,482.7552083,Claude Debussy,Post Romantic,French,15,6
47,47,Claude Debussy,,Bruyeres,train,2006,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.midi,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.wav,984.5275945,Claude Debussy,Post Romantic,French,15,6
48,48,Claude Debussy,,Estampes (Complete),test,2014,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.wav,849.0309352,Claude Debussy,Post Romantic,French,15,6
49,49,Claude Debussy,,"Etude ""Pour le arpeges composes""",train,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.wav,274.6711997,Claude Debussy,Post Romantic,French,15,6
50,50,Claude Debussy,,"Etude ""Pour les accords""",test,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.wav,270.703522,Claude Debussy,Post Romantic,French,15,6
51,51,Claude Debussy,,"Etude ""Pour les huit doigts""",train,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.wav,90.99616969,Claude Debussy,Post Romantic,French,15,6
52,52,Claude Debussy,,"Etude No. 6, Book I, ""Pour les huits doigts""",train,2008,2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.midi,2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.wav,79.33485656,Claude Debussy,Post Romantic,French,15,6
53,53,Claude Debussy,,"Etude No. 7 ""Study in Chromatic Steps""",test,2004,2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.midi,2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.wav,134.3764783,Claude Debussy,Post Romantic,French,15,6
54,54,Claude Debussy,,Feux d'artifice,train,2006,2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.midi,2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.wav,242.5785502,Claude Debussy,Post Romantic,French,15,6
55,55,Claude Debussy,,Four Preludes,train,2006,2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.midi,2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.wav,672.9013036,Claude Debussy,Post Romantic,French,15,6
56,56,Claude Debussy,,Image (Book II),train,2004,2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.wav,701.103701,Claude Debussy,Post Romantic,French,15,6
57,57,Claude Debussy,,"Images Book 1 (Complete), L 110",train,2014,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.wav,903.2603147,Claude Debussy,Post Romantic,French,15,6
58,58,Claude Debussy,,Images Book II,train,2006,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.midi,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.wav,679.6975041,Claude Debussy,Post Romantic,French,15,6
59,59,Claude Debussy,,"Images, Book I",train,2009,2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.midi,2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.wav,924.1710844,Claude Debussy,Post Romantic,French,15,6
60,60,Claude Debussy,,"Images, Book I, ""Reflets dans l'eau""",train,2008,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.wav,281.5795795,Claude Debussy,Post Romantic,French,15,6
61,61,Claude Debussy,,"Images, Book II",train,2018,2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.wav,845.7109598,Claude Debussy,Post Romantic,French,15,6
62,62,Claude Debussy,,"Images, Book II, ""Poissons d'or""",train,2008,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.wav,219.9784125,Claude Debussy,Post Romantic,French,15,6
63,63,Claude Debussy,,Jardins sous la pluie from Estampes,test,2011,2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.midi,2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.wav,207.2620791,Claude Debussy,Post Romantic,French,15,6
64,64,Claude Debussy,,L'Isle Joyeuse,train,2011,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.midi,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.wav,329.5603008,Claude Debussy,Post Romantic,French,15,6
65,65,Claude Debussy,,L'isle joyeuse,train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.wav,363.9152344,Claude Debussy,Post Romantic,French,15,6
66,66,Claude Debussy,,L'isle joyeuse,train,2013,2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--4.midi,2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--4.wav,298.9887502,Claude Debussy,Post Romantic,French,15,6
67,67,Claude Debussy,,L'isle joyeuse,train,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.wav,350.0771072,Claude Debussy,Post Romantic,French,15,6
68,68,Claude Debussy,,L'isle joyeuse,train,2017,2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--4.midi,2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--4.wav,346.0250139,Claude Debussy,Post Romantic,French,15,6
69,69,Claude Debussy,,"L'isle joyeuse, L. 106",train,2018,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.wav,349.6858148,Claude Debussy,Post Romantic,French,15,6
70,70,Claude Debussy,,Les Collines d'Anacapri from Book I,train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.wav,176.4634988,Claude Debussy,Post Romantic,French,15,6
71,71,Claude Debussy,,Pagodas from Estampes No. 1,test,2008,2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.wav,345.8196328,Claude Debussy,Post Romantic,French,15,6
72,72,Claude Debussy,,Pour le piano (Complete),test,2015,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.wav,738.9583333,Claude Debussy,Post Romantic,French,15,6
73,73,Claude Debussy,,"Prelude No. 24 ""Fireworks""",train,2008,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.wav,318.5119678,Claude Debussy,Post Romantic,French,15,6
74,74,Claude Debussy,,"Prelude No. 6, Book I, ""Des pas sur la neige""",test,2018,2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.wav,247.7615044,Claude Debussy,Post Romantic,French,15,6
75,75,Claude Debussy,,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",train,2018,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.wav,297.1925447,Claude Debussy,Post Romantic,French,15,6
76,76,Claude Debussy,,"Preludes Book II: â€œFeux d'artifice,â€ L 123, No. 12",train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.wav,257.9190797,Claude Debussy,Post Romantic,French,15,6
77,77,Claude Debussy,,"Preludes No. 2, 6, 12",train,2004,2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi,2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.wav,338.2618226,Claude Debussy,Post Romantic,French,15,6
